,Sort,array sizes,trial_time,trial number
170,mergeSort,60,0.00020313262939453125,1
171,mergeSort,60,0.00020194053649902344,2
172,mergeSort,60,0.0002009868621826172,3
173,mergeSort,60,0.0002090930938720703,4
174,mergeSort,60,0.00020194053649902344,5
175,mergeSort,60,0.00020194053649902344,6
176,mergeSort,60,0.0002009868621826172,7
177,mergeSort,60,0.0002009868621826172,8
178,mergeSort,60,0.00020003318786621094,9
179,mergeSort,60,0.00020503997802734375,10
180,mergeSort,80,0.00043702125549316406,1
181,mergeSort,80,0.0004017353057861328,2
182,mergeSort,80,0.0003829002380371094,3
183,mergeSort,80,0.0002739429473876953,4
184,mergeSort,80,0.0002701282501220703,5
185,mergeSort,80,0.00026798248291015625,6
186,mergeSort,80,0.00027179718017578125,7
187,mergeSort,80,0.00026869773864746094,8
188,mergeSort,80,0.00026607513427734375,9
189,mergeSort,80,0.00026798248291015625,10
190,mergeSort,100,0.00033473968505859375,1
191,mergeSort,100,0.0003349781036376953,2
192,mergeSort,100,0.0003921985626220703,3
193,mergeSort,100,0.0003399848937988281,4
194,mergeSort,100,0.00033593177795410156,5
195,mergeSort,100,0.0005011558532714844,6
196,mergeSort,100,0.0007710456848144531,7
197,mergeSort,100,0.0006687641143798828,8
198,mergeSort,100,0.0006492137908935547,9
199,mergeSort,100,0.0006799697875976562,10
200,quickSort,20,4.696846008300781e-05,1
201,quickSort,20,4.792213439941406e-05,2
202,quickSort,20,6.914138793945312e-05,3
203,quickSort,20,4.38690185546875e-05,4
204,quickSort,20,3.4809112548828125e-05,5
205,quickSort,20,3.790855407714844e-05,6
206,quickSort,20,5.0067901611328125e-05,7
207,quickSort,20,7.796287536621094e-05,8
208,quickSort,20,4.291534423828125e-05,9
209,quickSort,20,4.482269287109375e-05,10
210,quickSort,40,8.916854858398438e-05,1
211,quickSort,40,0.00010609626770019531,2
212,quickSort,40,9.107589721679688e-05,3
213,quickSort,40,0.00014400482177734375,4
214,quickSort,40,8.20159912109375e-05,5
215,quickSort,40,8.893013000488281e-05,6
216,quickSort,40,7.987022399902344e-05,7
217,quickSort,40,8.821487426757812e-05,8
218,quickSort,40,9.083747863769531e-05,9
219,quickSort,40,7.510185241699219e-05,10
220,quickSort,60,0.00011277198791503906,1
221,quickSort,60,0.00010609626770019531,2
222,quickSort,60,0.00021696090698242188,3
223,quickSort,60,0.000141143798828125,4
224,quickSort,60,0.00013113021850585938,5
225,quickSort,60,0.00011706352233886719,6
226,quickSort,60,0.00010657310485839844,7
227,quickSort,60,9.298324584960938e-05,8
228,quickSort,60,8.797645568847656e-05,9
229,quickSort,60,9.918212890625e-05,10
230,quickSort,80,0.0001418590545654297,1
231,quickSort,80,0.00014734268188476562,2
232,quickSort,80,0.00015115737915039062,3
233,quickSort,80,0.0001480579376220703,4
234,quickSort,80,0.0001430511474609375,5
235,quickSort,80,0.00014901161193847656,6
236,quickSort,80,0.0001430511474609375,7
237,quickSort,80,0.00017905235290527344,8
238,quickSort,80,0.00014519691467285156,9
239,quickSort,80,0.00015473365783691406,10
240,quickSort,100,0.00017595291137695312,1
241,quickSort,100,0.0001850128173828125,2
242,quickSort,100,0.0001747608184814453,3
243,quickSort,100,0.00021195411682128906,4
244,quickSort,100,0.0002028942108154297,5
245,quickSort,100,0.0001850128173828125,6
246,quickSort,100,0.00017905235290527344,7
247,quickSort,100,0.00018906593322753906,8
248,quickSort,100,0.00019097328186035156,9
249,quickSort,100,0.00018930435180664062,10
