,Sort,array sizes,trial_time,trial number
46,CountingSort,250,0.00016307830810546875,7
47,CountingSort,250,8.797645568847656e-05,8
48,CountingSort,250,0.00010395050048828125,9
49,CountingSort,250,8.726119995117188e-05,10
50,CountingSort,1000,0.0002918243408203125,1
51,CountingSort,1000,0.00028896331787109375,2
52,CountingSort,1000,0.0002880096435546875,3
53,CountingSort,1000,0.00028896331787109375,4
54,CountingSort,1000,0.0003528594970703125,5
55,CountingSort,1000,0.00030803680419921875,6
56,CountingSort,1000,0.0002989768981933594,7
57,CountingSort,1000,0.0003352165222167969,8
58,CountingSort,1000,0.0002989768981933594,9
59,CountingSort,1000,0.0003337860107421875,10
60,CountingSort,2500,0.0006997585296630859,1
61,CountingSort,2500,0.000949859619140625,2
62,CountingSort,2500,0.0010759830474853516,3
63,CountingSort,2500,0.0007088184356689453,4
64,CountingSort,2500,0.0006978511810302734,5
65,CountingSort,2500,0.0006971359252929688,6
66,CountingSort,2500,0.0006918907165527344,7
67,CountingSort,2500,0.0011129379272460938,8
68,CountingSort,2500,0.0007059574127197266,9
69,CountingSort,2500,0.0013110637664794922,10
70,CountingSort,5000,0.001605987548828125,1
71,CountingSort,5000,0.002658843994140625,2
72,CountingSort,5000,0.001394033432006836,3
73,CountingSort,5000,0.0015308856964111328,4
74,CountingSort,5000,0.0016498565673828125,5
75,CountingSort,5000,0.0024700164794921875,6
76,CountingSort,5000,0.0013811588287353516,7
77,CountingSort,5000,0.001377105712890625,8
78,CountingSort,5000,0.0028276443481445312,9
79,CountingSort,5000,0.0013952255249023438,10
80,insertionSort,250,0.0024709701538085938,1
81,insertionSort,250,0.0023717880249023438,2
82,insertionSort,250,0.005062103271484375,3
83,insertionSort,250,0.004776954650878906,4
84,insertionSort,250,0.0027687549591064453,5
85,insertionSort,250,0.0024788379669189453,6
86,insertionSort,250,0.0027899742126464844,7
87,insertionSort,250,0.0024421215057373047,8
88,insertionSort,250,0.0026102066040039062,9
89,insertionSort,250,0.0030701160430908203,10
90,insertionSort,1000,0.04964184761047363,1
91,insertionSort,1000,0.05212211608886719,2
92,insertionSort,1000,0.0480649471282959,3
93,insertionSort,1000,0.05058908462524414,4
94,insertionSort,1000,0.0475010871887207,5
95,insertionSort,1000,0.04638218879699707,6
96,insertionSort,1000,0.05254817008972168,7
97,insertionSort,1000,0.04606008529663086,8
98,insertionSort,1000,0.053957223892211914,9
99,insertionSort,1000,0.046053171157836914,10
100,insertionSort,2500,0.29893994331359863,1
101,insertionSort,2500,0.30242109298706055,2
102,insertionSort,2500,0.30690979957580566,3
103,insertionSort,2500,0.3027169704437256,4
104,insertionSort,2500,0.32123398780822754,5
105,insertionSort,2500,0.320842981338501,6
106,insertionSort,2500,0.30191588401794434,7
107,insertionSort,2500,0.3075268268585205,8
108,insertionSort,2500,0.30484580993652344,9
109,insertionSort,2500,0.29796290397644043,10
110,insertionSort,5000,1.2346761226654053,1
111,insertionSort,5000,1.2312121391296387,2
112,insertionSort,5000,1.2376368045806885,3
113,insertionSort,5000,1.246955156326294,4
114,insertionSort,5000,1.2301340103149414,5
115,insertionSort,5000,1.248049020767212,6
116,insertionSort,5000,1.2271013259887695,7
117,insertionSort,5000,1.2623579502105713,8
118,insertionSort,5000,1.373595952987671,9
